50
p0	998	499	20	[0;88774]
p1	994	561	20	[0;88774]
p2	982	623	20	[0;88774]
p3	962	682	20	[0;88774]
p4	936	739	20	[0;88774]
p5	902	792	20	[0;88774]
p6	862	840	20	[0;88774]
p7	817	883	20	[0;88774]
p8	766	920	20	[0;88774]
p9	711	950	20	[0;88774]
p10	653	973	20	[0;88774]
p11	592	989	20	[0;88774]
p12	530	997	20	[0;88774]
p13	467	997	20	[0;88774]
p14	405	989	20	[0;88774]
p15	344	973	20	[0;88774]
p16	286	950	20	[0;88774]
p17	231	920	20	[0;88774]
p18	180	883	20	[0;88774]
p19	135	840	20	[0;88774]
p20	95	792	20	[0;88774]
p21	61	739	20	[0;88774]
p22	35	682	20	[0;88774]
p23	15	623	20	[0;88774]
p24	3	561	20	[0;88774]
p25	0	498	20	[0;88774]
p26	3	436	20	[0;88774]
p27	15	374	20	[0;88774]
p28	35	315	20	[0;88774]
p29	61	258	20	[0;88774]
p30	95	205	20	[0;88774]
p31	135	157	20	[0;88774]
p32	180	114	20	[0;88774]
p33	231	77	20	[0;88774]
p34	286	47	20	[0;88774]
p35	344	24	20	[0;88774]
p36	405	8	20	[0;88774]
p37	467	0	20	[0;88774]
p38	530	0	20	[0;88774]
p39	592	8	20	[0;88774]
p40	653	24	20	[0;88774]
p41	711	47	20	[0;88774]
p42	766	77	20	[0;88774]
p43	817	114	20	[0;88774]
p44	862	157	20	[0;88774]
p45	902	205	20	[0;88774]
p46	936	258	20	[0;88774]
p47	962	315	20	[0;88774]
p48	982	374	20	[0;88774]
p49	994	436	20	[0;88774]
0	62	125	186	247	308	367	424	480	534	586	636	683	727	769	807	842	874	903	927	949	967	980	990	996	998	996	990	980	967	949	928	904	875	843	808	769	728	684	637	587	535	481	425	368	309	248	187	126	63
62	0	63	125	187	248	308	367	425	481	534	587	636	683	728	769	807	843	875	903	928	949	966	980	991	995	998	996	990	980	966	949	928	903	874	843	807	769	728	683	636	586	535	480	425	367	308	248	187	125
125	63	0	62	124	186	247	307	367	424	480	534	586	636	683	727	768	807	843	874	902	928	948	967	980	989	996	998	995	990	980	966	949	928	903	875	843	808	769	728	683	636	587	535	481	425	367	308	249	187
186	125	62	0	62	125	186	247	308	367	424	480	534	586	636	683	727	768	807	841	873	902	927	948	966	979	990	995	997	995	989	979	966	948	927	902	874	842	807	768	726	682	635	586	534	480	424	367	308	248
247	187	124	62	0	62	125	186	248	308	367	425	481	535	586	636	683	727	769	807	842	875	902	928	949	966	980	990	995	998	996	990	980	967	949	928	903	875	843	807	768	727	683	636	586	535	481	424	367	308
308	248	186	125	62	0	62	124	186	247	307	367	424	480	534	586	635	683	727	768	807	842	873	902	928	948	966	980	989	996	997	995	990	980	966	949	928	903	875	843	807	769	727	683	636	587	535	480	425	367
367	308	247	186	125	62	0	62	124	186	247	308	367	425	480	534	586	636	683	727	768	807	841	874	903	927	949	966	979	990	995	997	996	990	980	966	949	928	903	874	842	807	769	727	683	636	586	534	481	425
424	367	307	247	186	124	62	0	63	125	187	248	308	368	425	481	535	587	637	683	727	769	807	843	875	903	928	949	966	980	990	996	998	996	990	980	967	949	928	903	874	842	807	769	727	683	636	586	535	480
480	425	367	308	248	186	124	63	0	62	124	187	248	308	367	425	480	535	587	636	683	727	768	807	843	874	903	928	948	967	980	990	996	998	996	990	980	967	949	928	903	874	843	807	769	727	683	635	587	535
534	481	424	367	308	247	186	125	62	0	62	125	187	248	308	367	425	480	535	586	635	683	727	768	807	842	874	903	927	949	966	980	990	996	998	996	990	980	967	949	927	903	874	842	807	769	727	682	636	586
586	534	480	424	367	307	247	187	124	62	0	63	125	187	248	309	367	425	481	534	586	636	683	727	769	807	843	875	902	928	949	966	980	990	996	998	996	990	980	966	949	927	903	874	842	807	768	726	683	636
636	587	534	480	425	367	308	248	187	125	63	0	62	125	187	248	308	367	425	480	534	586	636	683	728	769	807	843	874	903	928	949	967	980	990	996	998	996	990	981	966	949	928	903	874	843	807	768	728	683
683	636	586	534	481	424	367	308	248	187	125	62	0	63	125	187	248	308	368	425	480	535	586	636	683	727	769	808	842	875	903	928	949	967	980	990	996	998	997	990	980	967	949	928	903	875	843	807	769	728
727	683	636	586	535	480	425	368	308	248	187	125	63	0	62	125	187	248	308	367	424	481	534	586	636	683	728	769	807	843	875	903	928	949	967	980	990	997	998	996	990	980	967	949	928	903	875	842	808	769
769	728	683	636	586	534	480	425	367	308	248	187	125	62	0	63	125	187	248	308	367	425	480	534	587	636	683	728	768	807	843	874	903	928	949	966	981	990	996	998	996	990	980	967	949	928	903	874	843	807
807	769	727	683	636	586	534	481	425	367	309	248	187	125	63	0	62	124	187	247	307	367	424	480	534	586	636	683	726	768	807	842	874	903	927	949	966	980	990	996	998	996	990	980	966	949	928	902	875	843
842	807	768	727	683	635	586	535	480	425	367	308	248	187	125	62	0	62	125	186	247	308	367	424	481	534	586	636	682	727	769	807	842	874	903	927	949	967	980	990	996	998	996	990	980	966	949	927	903	874
874	843	807	768	727	683	636	587	535	480	425	367	308	248	187	124	62	0	63	124	186	248	308	367	425	481	535	587	635	683	727	769	807	843	874	903	928	949	967	980	990	996	998	996	990	980	967	948	928	903
